번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
937,중고차 한참 알아보다가 조금 망설여지네요.,캠어I토레스I수원,2026.01.26. 17:33,조회 119,kcl1454,준회원
938,아이오닉5 풍절음 어떤가요??,운남가이준비중,2026.01.26. 17:31,조회 185,novapanic,신입
939,EV6 공조기 원격 조절,자동차공학과11학번,2026.01.26. 17:24,조회 85,jin92dora,신입
940,회사 내 전기차 구역 신고 가능???,자동차공학과11학번,2026.01.26. 17:20,조회 180,jin92dora,신입
941,"요즘 고속도로 출퇴근중인데 와,,진짴ㅋㅋㅋ",피카츄I208I서울,2026.01.26. 17:18,조회 403,thislimdongh,준회원
942,출산 예정인 와이프 세컨카 추천 부탁 드립니다,흑백형광펜,2026.01.26. 17:17,조회 162,changi92,신입
943,충남 부여군도 보조금 올라왔네요,마샤I충남,2026.01.26. 17:15,조회 379,pipark7,준회원
944,충남 도대체 왜이렇게 늦나요,골절이싫다I대전,2026.01.26. 17:11,조회 233,regularpeson,준회원
945,날이 좋아서 세차했네요.,가을하늘li5I경기,2026.01.26. 17:09,조회 129,kws0327,준회원
946,가아차 할인?,에브리I안산,2026.01.26. 17:08,조회 318,rsy0611,준회원
947,주니퍼 출고,I총총파파I전주,2026.01.26. 17:08,조회 83,alswn9307,준회원
948,서울시 보조금 지급대상자 선정기간 질문입니다,달려I아이오닉6NI서울,2026.01.26. 17:08,조회 85,jdw1122,준회원
949,디씨콤보 어댑터 분실,대구ll경북,2026.01.26. 17:06,조회 95,dlguswjddlal,준회원
950,(마감)충전기 에버온 쓰시는분 계세요??,오리l아5l대구,2026.01.26. 16:59,조회 214,arima3,준회원
951,BYD seal RWD,동탄ll천시아,2026.01.26. 16:55,조회 184,tntjd914,준회원
952,ev5나 ev6 재고차 남아있을까요?,전북ll이브이5,2026.01.26. 16:55,조회 470,tmdgus4579,준회원
953,ev3 현금 150 할인과 초저금리 할부중에서 선택 가능한걸로 아는데,이브이IEV3I충북,2026.01.26. 16:53,조회 320,rkdlwpf493,준회원
954,2월초 접수 ㅋㅋ 재고차는 어림도 없네요,한줌단l수원,2026.01.26. 16:52,조회 498,smlalfjf4,준회원
955,EV4가 셀토스보다 낫죠?,아이온lEV4l서울,2026.01.26. 16:49,"조회 3,822",sayden,준회원
956,테슬라 모델y 26년식 주문하면 얼마정도 대기 할까요?,경기용인ll래드아이즈,2026.01.26. 16:47,조회 170,l22k24,신입
957,[아이오닉9 2026 올해의 차 수상 축하] 대형 SUV의 새로운 기준을 제시한 전기차!,슬립I폴스타2I양주,2026.01.26. 16:34,조회 117,edkstkd,준회원
958,[아이오닉9 2026 올해의 차 수상 축하] 끝판왕 전기차 아이오닉9,아따뚜이I오산,2026.01.26. 16:32,조회 50,kop890,준회원
959,4인가족 차량질문드립니다. (아이오닉 5 vs 모델Y),아보카동Ii오닉5I일산,2026.01.26. 16:32,조회 194,cusco77,신입
960,2월초에 보조금 나온다는데 (재고관련),경산ll아이오닉,2026.01.26. 16:29,조회 858,dnjs5681,준회원
961,서울시 지원금 접수 순번,야채배달,2026.01.26. 16:28,조회 142,ebever,준회원
962,전기차 결정장애 치료해드립니다! 2026년형 전기차 구매 '자가진단표',홀릭아이즈 EV9 경기,2026.01.26. 16:28,조회 541,jwvalue,준회원
963,경남 보조금..어이상실이네요(도청민원들어가요),어쩌다I아이오닉I경남,2026.01.26. 16:28,조회 589,juni5328,준회원
964,전기차에 관심 있어 가입 했습니다,어쩌다저언기차I부산,2026.01.26. 16:26,조회 4,yoangsab,준회원
965,포항 2월 두번째주 접수예정,빵돌IEV5I경북,2026.01.26. 16:25,조회 259,jeeree1234,준회원
966,안녕하세요,팻맨I아이오닉6I경기,2026.01.26. 16:23,조회 5,unsang06,준회원
967,안녕하세요,어쩌다저언기차I부산,2026.01.26. 16:23,조회 2,yoangsab,준회원
968,모델Y 택시 목격,다시돌아ㅣ서울,2026.01.26. 16:21,조회 390,10dnjschd,준회원
969,아이오닉5 실구매가 서울 얼마나 하나요?,3715014h,2026.01.26. 16:20,조회 49,theresahaworth,신입
970,EV9 중고 구매후 타이어고민 중,행복한부자IEV9I안양,2026.01.26. 16:17,조회 151,meto76,신입
971,테슬라 모델y 후륜이 나을까요 사륜이 나을까요 ㅇㅅㅇ,티모미호,2026.01.26. 16:13,조회 234,tnsrb89,신입
972,청주 전기차 보조금,빈즈l아9l청주,2026.01.26. 16:11,조회 345,sweetmusic22,준회원
973,EV4 어스 롱레인지 재고 안나올려나요...,따콩이Iev4I울산,2026.01.26. 16:10,조회 290,thqotn,준회원
974,전기차 보조금은 작년동결..,엔드IEV6I대전,2026.01.26. 16:09,조회 162,nocturne_7,준회원
975,보조금,대전ll루멘,2026.01.26. 16:07,조회 179,spinl1225,준회원
976,보조금 관련,빙그르르해보자,2026.01.26. 16:07,조회 127,ska1723,준회원
977,여주 보조금 공고 올라왔네요,키도리m양평,2026.01.26. 16:06,조회 115,love772kim,준회원
978,전기차 전환지원금 수령관련문의드립니다.,최스테파노I경남,2026.01.26. 16:04,조회 184,yunny1220,준회원
979,혹시 오늘 보조금 신청하신분?,나예빠IEV6I인천,2026.01.26. 16:04,조회 181,kdwls00,준회원
980,[아이오닉9 2026 올해의 차 수상 축하] 플래그십 전기 SUV의 끝판왕 아이오닉9,용키I아이오닉5I대구,2026.01.26. 16:00,조회 189,milunamu2,정회원
981,아이오닉 비상키,휘뚜루I아9I김해,2026.01.26. 15:57,조회 115,kimiu20605,준회원
982,테슬라 2026년형 질문,이솜주인lq4l창원,2026.01.26. 15:53,조회 68,hobakb,준회원
983,경차 팔면 경차 유류비 환급 카드는?,인천IIPaulim,2026.01.26. 15:49,조회 132,konfuzilo,준회원
984,빨리 인수 받고 싶어요.,왕쏘야I모델YI인천,2026.01.26. 15:44,조회 52,tpkjo0928,준회원
985,EV4 패밀리용 가능합니까?,데브파파,2026.01.26. 15:41,조회 203,priaz,신입
986,인천 모델y보조금 작년보다 줄었네요ㅠ,네로I인천,2026.01.26. 15:36,조회 240,naegerowa,준회원
987,PPF. 다들하시나요?,둥이장군I고양,2026.01.26. 15:36,조회 173,gagagv2,준회원
988,가족차로 전기차 고민중인데 조언 부탁드립니다,감자92,2026.01.26. 15:36,조회 137,tkatns0104,신입
989,EV4는 출고가 빨리 되나요?,경남IEV4I교류자,2026.01.26. 15:30,조회 237,glock36,신입
990,전기차 살걸.. 하고 후회되네요,문젯거리,2026.01.26. 15:29,"조회 1,531",jamekn,준회원
991,아파트 충전시 관리비로 충전금액 부과되시는분들,나의적은I씨라7I대구,2026.01.26. 15:27,조회 220,daebak26,준회원
992,전기차로 갈아타야 할지 고민중 입니다. ^^,영빈아빠I경북칠곡,2026.01.26. 15:26,조회 141,rosetwin,준회원
993,주니퍼 RWD / 모델3 롱 / IX2 골라주세여,해달잇,2026.01.26. 15:25,조회 195,style792,신입
994,주행 중 소음이 발생합니다.,코나타II충북,2026.01.26. 15:22,조회 75,tmdrn007,신입
995,코나ev 프리미어 20년식 윈터패키지,Wonnogida69,2026.01.26. 15:21,조회 77,lwr50,신입
996,기아차 할인 받으신게 있으신가요?,초짜한량Iev5I경북,2026.01.26. 15:20,조회 451,som54,신입
997,동탄 기아 카마 추천 부탁드려요,순수열정I동탄,2026.01.26. 15:20,조회 17,getto502,준회원
998,자동세차장 하부세차 하시나요?,나무나무ll,2026.01.26. 15:19,조회 266,jin841225,준회원
999,생각해보면 내연기관 차량보다 전기차가 무조건 더 이득인데요.,완전개차반I경남,2026.01.26. 15:18,조회 299,inchang_lee,준회원
