번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
130,새 전기차 타이어 교체,곰팅곰탱I평택,2026.01.28. 12:29,조회 62,durt132,준회원
131,재고차 보조금신청후 출고까지 얼마나걸릴까요?,올라애비lEV5l충북,2026.01.28. 12:27,조회 132,tlsdmscjf66,준회원
132,전기차 전용구역에 내연기관차가 오면 안됩니다,선풍기I오닉5I충북,2026.01.28. 12:23,조회 99,strchoapp,준회원
133,모두들 점심 맛있게 드세요,행복나의삶lev6l경기,2026.01.28. 12:22,조회 5,qkeutaxl283,신입
134,아우디 q4로 질렀네요,남보로v79,2026.01.28. 12:21,조회 81,,신입
135,ev5 선택완료...길고 긴 선택장애의 끝,두암동동I광주,2026.01.28. 12:17,조회 244,y_b_f_c,준회원
136,ev차량 승차감,주목울타리,2026.01.28. 12:16,조회 81,탈퇴한 멤버,
137,전라북도 떴네요!!,엔드IEV6I대전,2026.01.28. 12:14,조회 348,,준회원
138,핸들 소음 뭘까요?,신기루I아오5I대구,2026.01.28. 12:12,조회 31,salf1212,준회원
139,아이가 생긴 후 패밀리카로 모델3에서 아이오닉5 기변,Jony120,2026.01.28. 12:12,조회 137,ljiiii,신입
140,2월초에 보조금신청하면,득구lEV4l전남,2026.01.28. 12:11,조회 144,skdakssn,신입
141,아산시는 592대 같네요,스텔라lev3l천안,2026.01.28. 12:10,조회 121,sakoorambo,준회원
142,타이어 교체 주기 질문,헤리슨l모델3l파주,2026.01.28. 12:10,조회 41,lausdeo29,신입
143,수원시 보조금도 공고 되었네요!,ev자객l수원,2026.01.28. 12:07,조회 82,wss82,신입
144,IX1 승차감 문의,김우짱I김해,2026.01.28. 12:06,조회 42,zaq158,준회원
145,THE LX 하고 솔라가드 프리미엄 의 관계는 어떻게 되나요??,만두I대구,2026.01.28. 12:06,조회 22,chunja0517,준회원
146,전그냥 테슬라로 갈래요,와사비는달콤해I광주,2026.01.28. 12:06,조회 129,redkimcci,준회원
147,반사/반반사는 다 전파방해가 있을까요?,초야I구오닉I용인,2026.01.28. 12:04,조회 78,kiru1742,준회원
148,GV70 페달,봄가을I아닉6I경기,2026.01.28. 12:02,조회 23,ckddn57,준회원
149,충전한도,똑라면I세종,2026.01.28. 12:00,조회 15,unjea,준회원
150,ev3 계약했는대 재고차 다 떨어진건 아니게죠?,드림 전북,2026.01.28. 12:00,조회 268,osc405,신입
151,아이오닉3출시,경북따라고,2026.01.28. 11:57,조회 52,2767360,준회원
152,전기차 추천부탁해요,부탄가스I인천,2026.01.28. 11:55,조회 71,jueun0930,준회원
153,아이오닉9 vk 썬팅 하신분 사진좀 올려주세요^^,만두I대구,2026.01.28. 11:51,조회 34,chunja0517,준회원
154,썬팅문의,똑라면I세종,2026.01.28. 11:45,조회 20,unjea,준회원
155,테슬라 대기기간,똑라면I세종,2026.01.28. 11:43,조회 156,unjea,준회원
156,서울 보조금 변동 있네요..,뽀시래기lIONIQ6I경남,2026.01.28. 11:42,조회 330,sooya219,우수회원
157,EV6 스탠다드 롱레인지 다른점!?,김쟁IEV6I화성,2026.01.28. 11:40,조회 140,wodn1073,신입
158,현재 현대/기아 유예할부 참고하셔야 할 점!,나이스I볼트EUVI강원,2026.01.28. 11:36,조회 778,ysyu428,준회원
159,ex60 과 폴스타4 어떤 모델이 더 좋을 지 궁금합니다.,하지장,2026.01.28. 11:32,조회 185,hajijang2,신입
160,테슬라 출고 방법 문의,걱정없는 삶,2026.01.28. 11:31,조회 85,feellovezxc,신입
161,테슬라 ~ ~,뚜끼,2026.01.28. 11:29,조회 45,rkddlsdbwjd,신입
162,모델 Y Premium RWD 계약하신분,걱정없는 삶,2026.01.28. 11:29,조회 66,feellovezxc,신입
163,천안시 보조금,걱정없는 삶,2026.01.28. 11:28,조회 144,feellovezxc,신입
164,회사 입장에서 충전기 설치시,럭꼬I모델3I울산,2026.01.28. 11:27,조회 122,wlswkr123,준회원
165,집밥 없는 전기차는 앙꼬 없는 찐빵 아닐까요?,원주민IQ4etronI경기,2026.01.28. 11:27,조회 208,iskywao,준회원
166,제가 사는 지역은 아직도 보조금이 안 열렸나봐요.,완전개차반I경남,2026.01.28. 11:24,조회 112,inchang_lee,준회원
167,혹시 금주 월요일 보조금 신청하신분 계실까요?,웅이I아6I서울,2026.01.28. 11:22,조회 60,klavierlove,준회원
168,90프로 충전 했는데,전북S푸우,2026.01.28. 11:22,조회 151,byul1020,신입
169,선배님들의 조언 여쭙고자 글 작성 합니다^^.,부릉부릉오토라이더,2026.01.28. 11:19,조회 30,wjddlsrn11,신입
170,"테슬라, 중국 전용 ‘모델 Y L 플러스’ 출시설… 88kWh 대용량 배터리 탑재, 2026년 Q2~Q3 출시 예상",해I모y아5I서울,2026.01.28. 11:19,조회 253,hwajakim2,준회원
171,단독주택이 최고임. ㅎㅎ,근육돼지l볼트l경기광,2026.01.28. 11:17,조회 264,batista5465,준회원
172,"15년식 k5(가솔린) 타고있는데, 차 교체 타이밍이 참 고민이네요",벚스커벚스커,2026.01.28. 11:13,조회 47,vbeomjunv,신입
173,Q4이트론 차 화면에서 유튜브 보고 싶은데 뭐사면 될까요?,클라이버le트론l대구,2026.01.28. 11:08,조회 22,corno1203,준회원
174,"기아, PV5 3종 출시…휠체어승객·소상공인·특장업체 맞춤화",해I모y아5I서울,2026.01.28. 11:08,조회 119,hwajakim2,준회원
175,겨울철 충전하고 몇km 타시나요?,금연하는날I인천I,2026.01.28. 11:05,조회 162,inhaeng11,준회원
176,전기차 배터리 얼마나 쓰나요?,테라테슬라I진천,2026.01.28. 11:05,조회 73,wkdekgml5937,신입
177,집밥 충전기 7k 제품 추천 좀 부탁 드립니다~,지엘이쿱IEV6I전북,2026.01.28. 11:01,조회 57,zlemfkr777,신입
178,ev4 재고차 리스트 있으신 분 계신가유..,오백냥이2l경기,2026.01.28. 10:59,조회 239,ghwo2264,준회원
179,OTA 업데이트 대비용 무료 데이터 가입이 필요합니다.,비타민비IG80eI서울,2026.01.28. 10:57,조회 65,supellus,우수회원
180,ev3 vs 셀토스 하이브리드,둥둥I전남,2026.01.28. 10:55,조회 251,opera0328,신입
181,테슬라 기다리는중,다이스키I충북,2026.01.28. 10:53,조회 72,wkdekgml5937,신입
182,괜히 아이오닉 일렉트릭 보다 닛산 리프 2세대가 끌리는 현상,임디요,2026.01.28. 10:52,조회 43,candyjelly113,신입
183,중고 전기차 살때 주의사항이 뭐가 있을까요?,건즈I서울,2026.01.28. 10:52,조회 47,ghpark900801,신입
184,블랙PPF로 루프스킨 하면 최소5년이상 수명이 지속될까요?,sinI아이오닉6I경남,2026.01.28. 10:50,조회 45,sinkfc,신입
185,아이오닉5 구매 문의,파주Q벌레,2026.01.28. 10:49,조회 21,jihyuhyuji,신입
186,와.. 전기차 재고차로 나올지 알았는데,와사비는달콤해I광주,2026.01.28. 10:47,조회 823,redkimcci,준회원
187,광주광역시 보조금 관련 공고 올라왔습니다.,프레시IEV3I광주,2026.01.28. 10:45,조회 246,bhs7849,준회원
188,아이오닉9 vs 테슬라 yL,부산ll후니아빠,2026.01.28. 10:42,조회 220,pront2000,준회원
189,돌핀 2가지 트림 보조금 금액이 나왔네요,굿윌헌팅2,2026.01.28. 10:41,조회 228,kkbong80,준회원
190,아오9기다리는 중,초록밀크I아오9I경남,2026.01.28. 10:39,조회 60,danji56,신입
191,"[아이오닉9 2026 올해의 차 수상 축하] 아이오닉9이 선택받은 이유, 결국 ‘전기 SUV의 기준’이어서",지봉이IGV60I서울,2026.01.28. 10:37,조회 57,jthyng,준회원
192,대구광역시 출고 얼마나 걸릴까요?,대구코나일렉트릭,2026.01.28. 10:32,조회 122,tnsduf141,신입
193,세종시 전기차 보조금 접수...,Ev4ready,2026.01.28. 10:28,조회 146,minkijang147,신입
194,BWW I3 (구형) 손잡이 빠짐 문제,부산ll후니아빠,2026.01.28. 10:28,조회 17,pront2000,준회원
195,당진시 전기차 300대라고 하네요,미녀기IEV4I당진,2026.01.28. 10:27,조회 187,hyuk3829,준회원
196,보험료 대략 얼마정도 나올까요?,수박꽁지,2026.01.28. 10:25,조회 93,kmj79mini,신입
197,썬팅 추천 좀 해주세요~,크리스IeGV70I경남,2026.01.28. 10:25,조회 52,savior9317,준회원
198,EV4 재고차,베테랑IEV4I청주,2026.01.28. 10:22,조회 230,hbj9769,신입
199,세종시 보조금,똑라면I세종,2026.01.28. 10:21,조회 30,unjea,준회원
