번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
817,ev6.에어롱레인지 차주분들(장단점),까대기l세닉l인천,2026.01.26. 22:40,조회 94,nsw0407,준회원
818,"샤오펑, 자동차 기준 휴머노이드 로봇 프로토타입 완성...""2026년 양산 목표"" 전기차 기술, 로봇으로 확장",해I모y아5I서울,2026.01.26. 22:37,조회 102,hwajakim2,준회원
819,전기차 전기값,샘 I EV4 I 청주,2026.01.26. 22:37,조회 250,dndbqlcrkfdltkdals12,신입
820,모델y fsd,레드콤l속초,2026.01.26. 22:33,조회 99,fire2505,신입
821,어느 유튭의 자동차 업체 시간당 인건비,콤프I모델3롱I파주,2026.01.26. 22:31,조회 259,sbasa,준회원
822,테슬라 주니퍼 구입하면 나중에 fsd 도입시 지원되나요???,구도일Iev3I세종,2026.01.26. 22:29,조회 187,pkjlg88,준회원
823,Ev4 전비,신호갑lEV4l대전,2026.01.26. 22:27,조회 139,fbtlgus12345,준회원
824,지자체 보조금이 줄어들었나요?,아오닉l경기,2026.01.26. 22:27,조회 111,hoonhed,신입
825,EV5 GT 가격이랑 보조금이 얼마나 될까요!?,라프지니,2026.01.26. 22:25,조회 142,lsjelan,신입
826,충전구역 주차시간이 법령으로 변동된건가요??,NlKE,2026.01.26. 22:23,조회 234,wptjsdkel,신입
827,"도와주세요...ㅜㅜㅋㅋㅋ (테슬라 모3, 벤츠 eqa, 비엠i4)",바꿈속,2026.01.26. 22:21,조회 250,sh81121,신입
828,보조금은 보통 작년이랑 유사하게 나오나요?,최지lev4l대전,2026.01.26. 22:20,조회 42,rokmc_1038,신입
829,추운날씨에 전비도 박살나지만...,썸원Iev4I파주,2026.01.26. 22:15,조회 157,leemc22,준회원
830,"파주시, 전기차 구매 보조금 27일부터 접수…'전환지원금' 첫 도입",해I모y아5I서울,2026.01.26. 22:15,조회 151,hwajakim2,준회원
831,조기폐차도 함께 진행하고싶은데요,홀릭플라워I경북,2026.01.26. 22:10,조회 130,greenwiny,준회원
832,EV6 재고차 계약,삼별초,2026.01.26. 22:09,조회 554,impskim,신입
833,아이오닉6 4wd 롱레인지 프레스티지 계약했습니다.,소유보,2026.01.26. 22:09,조회 130,ucan26s,준회원
834,이런 옵션 랜트카 있을가요?,호랭이IEV3I파주,2026.01.26. 22:07,조회 29,enrjql11111,신입
835,현대 전기차 할인될까요?,모라모I인천,2026.01.26. 22:03,조회 196,ookk2007,준회원
836,폴스타 싱글과 듀얼고민,부탄가스I인천,2026.01.26. 21:56,조회 124,jueun0930,준회원
837,Ev4 계약하신 분들,부이lEV4l강원,2026.01.26. 21:53,조회 284,dltkdgns603,준회원
838,ev5 계약하고 구매전입니다,아이시스741,2026.01.26. 21:53,조회 404,insutain0519,신입
839,이번에 모델3 400키로 타봤는데 정말신기하더라고요,저공해lEV6l대전,2026.01.26. 21:50,조회 246,remains1,준회원
840,원주도 차량별 지원금은 나왔군요 ~,부이lEV4l강원,2026.01.26. 21:48,조회 177,dltkdgns603,준회원
841,"매일 카페만 보고 있습니다-.,-",꼭미남I안성,2026.01.26. 21:45,조회 127,lshghks1987,준회원
842,아이오닉5 구매,백보l아오5l경기,2026.01.26. 21:41,조회 91,shje4536,신입
843,경남 보조금 박살났군요 ㅎㅎ,파흐l아이오닉6l경남,2026.01.26. 21:40,조회 421,dlacodn123,준회원
844,자유로 일산 방향 사고 났네요. 조심하세요.,다시돌아ㅣ서울,2026.01.26. 21:40,조회 112,10dnjschd,준회원
845,글 제대로 읽으려면 준회원이 되어야 한다는데,샤프슈터I이천,2026.01.26. 21:38,조회 79,toughai,신입
846,byd 보고 왔는데 생각했던거 보다 좋네요,비석사냥IEV3I부산,2026.01.26. 21:37,조회 275,spforcebde,신입
847,충남 부여 지자체 결정난건가요?,태광소현I봉고evI부여,2026.01.26. 21:36,조회 364,cm3810,준회원
848,보조금 신청 관련해서 궁금한점 있습니다.,삐삐I아직I청주,2026.01.26. 21:34,조회 134,sangohho,준회원
849,[질문]출퇴근 고민과 전기차 2천만원추천부탁드립니다,성장99,2026.01.26. 21:34,조회 117,skywhd15,신입
850,"""현기차 50% 원가 절감?""…아틀라스 생산성, 中 인건비 6분의1 수준",해I모y아5I서울,2026.01.26. 21:33,조회 168,hwajakim2,준회원
851,기아자동차 ev5 유예할부 견적보고 왔습니다,배불러라I청주,2026.01.26. 21:33,조회 583,18xodzm5,신입
852,ev6와 원주 스톤크릭,귀연lev6l경기,2026.01.26. 21:26,"조회 1,399",mingkicute,우수회원
853,블루멤버스 포인트,마요네즈l코나l경기,2026.01.26. 21:24,조회 88,tlatnfrnfjrl38,준회원
854,기존에 개인용 충전기 설치된 건물에 추가로 한개더 설치할시 비용 문의,가즈아96,2026.01.26. 21:21,조회 64,qjawls9130,준회원
855,김포 보조금 나오기전..,뽀글이l김포,2026.01.26. 21:21,조회 132,whektlrk23,신입
856,아이오닉5 vs 주니퍼 Y RWD,아자쓰I없음I포항,2026.01.26. 21:20,조회 217,elle247,준회원
857,모y ev5,리리파파I경남,2026.01.26. 21:20,조회 96,qubid,준회원
858,EV2는 국내출시 안하는거 확정이죠?,온소lEv3l군산,2026.01.26. 21:15,조회 313,syhun0925,준회원
859,타이칸..,베테랑lEV4l청주,2026.01.26. 21:14,조회 44,hbj9769,신입
860,EV3 EV4 고민들 많이하시는군요. 저도고민중..,태광소현I봉고evI부여,2026.01.26. 21:12,"조회 1,443",cm3810,준회원
861,구축아파트 전기차 충전 전용 구역이 없는데요,봄날I볼트euvl경기,2026.01.26. 21:11,조회 100,kmmoon82,준회원
862,"EV6, 주니퍼 고민중입니다.",스듯스I대전,2026.01.26. 21:11,조회 122,11_01_00,신입
863,과연 전기차가 정답일지.............,용쏭아빠I동두천,2026.01.26. 21:09,조회 440,djwlstjs3,신입
864,전기차 종합보험 db 화재시 보험특약,스타리아3밴,2026.01.26. 21:02,조회 132,audgns8109,신입
865,현대 뉴 아이오닉이 구오닉인가요?,호도호도,2026.01.26. 20:57,조회 60,patalliro,신입
866,경기도 군포 아이오닉5 카마스터 쪽지 부탁드려요ㅠㅠ,찐롱전I경기,2026.01.26. 20:53,조회 29,luffy1023,신입
867,작년에 부천에서 전기차 보조금 받고 출고 하신 분 계신가요,빠매IEV4I부천,2026.01.26. 20:52,조회 48,sirbeowulf,준회원
868,Ev6 스탠다드 vs 롱레인지,초년생I경기,2026.01.26. 20:51,조회 143,chohs111,신입
869,그레칼레 풀고레 vs EQE500,메렁메렁,2026.01.26. 20:48,조회 72,plmk19,준회원
870,키로수많은 폴스타2 중고입양 별로일까요?,애나ㅣ미정ㅣ대구,2026.01.26. 20:48,조회 111,nonexisent,준회원
871,"울산시, 전기차 구매보조금 지원…승용차 최대 893만원",해I모y아5I서울,2026.01.26. 20:48,조회 188,hwajakim2,준회원
872,페리오닉 시동 안걸림.. 브레이크 점검??? ㅋㅋㅋ,볼트I모델YI경기,2026.01.26. 20:47,조회 100,gkaksmsdkdn,준회원
873,ev5 깡통 탈만할까요?ㅋㅋ (3857만원...),부산ll노력,2026.01.26. 20:45,"조회 2,263",leedj2892,준회원
874,"폭스바겐 'ID.4', 올해 보조금 423만원…“수입 전기차 최대”",해I모y아5I서울,2026.01.26. 20:44,조회 186,hwajakim2,준회원
875,전기차 충전궁금해요,대전ㅣ 민서파파,2026.01.26. 20:41,조회 35,tkfkd999dlf,준회원
876,테슬라 모델y전동 선쉐이드 팝니 주니퍼,마곡 골프,2026.01.26. 20:37,조회 50,bkchoic,신입
877,지자체 보조금 (동두천시),용쏭아빠I동두천,2026.01.26. 20:35,조회 227,djwlstjs3,신입
878,테슬라 주니퍼 중고거래시 이게 맞을까요?,부산ll갈매기,2026.01.26. 20:33,조회 216,hotqa,준회원
879,언젠가 대중 전기차가 주행거리 700 넘을 수 있을까요?,문젯거리,2026.01.26. 20:32,조회 214,jamekn,준회원
880,"군포시, 2026년 친환경 자동차 보조금 신설 및 신청 안내",해I모y아5I서울,2026.01.26. 20:32,조회 130,hwajakim2,준회원
881,보조금 신청 후 출고,전기카쟁이lev5l청주,2026.01.26. 20:32,조회 121,sayi4552554,준회원
882,원격 스마트주차보조 오늘 안 사실!!,하박이Iev9I의정부,2026.01.26. 20:31,조회 176,yaessay,준회원
883,경남 저희동네 보조금 나왔는데..,Ev3l경남 스펙트,2026.01.26. 20:27,조회 378,csg3525,준회원
884,페리오닉 7천km iccu 터짐후기,망고젤리l아5l서울,2026.01.26. 20:22,조회 663,dear665,준회원
885,출퇴근 연비 볼때마다 전기차 사고싶내요...,부산ll노력,2026.01.26. 20:21,조회 147,leedj2892,준회원
886,Ix2 다들 배정 받으셨나여? ㅠ ㅠㅠㅠㅠㅠ,양여니I레이evI경남,2026.01.26. 20:17,조회 229,seoyeon0411,준회원
887,재고차 받으면 언제즘 출고되나요?,기하가라IEV4I부산,2026.01.26. 20:17,조회 170,bbaexo,준회원
888,워터펌프교체뒤 충전량변화 충전,무사신니로evl부산,2026.01.26. 20:16,조회 44,juno2597,준회원
889,아이오닉5 계약 손해보는 느낌,졸린짱구l보유전l경기,2026.01.26. 20:13,조회 398,k39man,준회원
890,전기차 처음 구입해보는데 지원금 금방 소진되는편인가요?,국제결혼도전II광주,2026.01.26. 20:11,조회 158,outspoken6,신입
891,보조금 유형마다 인도순서가 정해지는지?,그린델l모yl경북,2026.01.26. 19:59,조회 114,seong0415,신입
892,차 옆에 지나가면서 사이드 접는 이상한 사람,산타IEV4I강원,2026.01.26. 19:58,조회 257,0112018123,준회원
893,아이오닉9 구매 견적 문의,서산물살이,2026.01.26. 19:54,조회 173,1998and,신입
894,아파트 완속충전 연장케이블 추천 해주세요..,훅기사l대구,2026.01.26. 19:54,조회 46,hey25s,준회원
895,아이오닉5 짐실을때,로드김,2026.01.26. 19:53,조회 88,zlzlgkgk2,준회원
896,ev3와 ev6중에 고민입니다.,마산딸기I부천,2026.01.26. 19:50,조회 329,hak1862,준회원
897,파워큐브이동형,Caesar777,2026.01.26. 19:45,조회 62,wndnrns,신입
898,테슬라 모Y 주문취소했네요 유유~,추새,2026.01.26. 19:41,조회 714,mahakala1984,준회원
899,아9 계약직전 문의,유리상자I경기,2026.01.26. 19:40,조회 77,kimhkukk,준회원
