1523,경남지역 보조금으로인한 의견궁금,전기재이EVl김해,2026.01.25. 11:07,조회 437,gudrbsdl,신입
1524,유일하게 하루 쉬는 주말! 전기차라 좋습니다^^,사호니lev3l청주,2026.01.25. 11:06,조회 71,gkstkdgns156,준회원
1525,과금형 콘센트 완충 안됨,미주구리I대구,2026.01.25. 11:00,조회 35,gloly_,준회원
1526,EV5 장기렌터카 계약하려 하는데 딜러님 계신가요?,롤매냐I서울,2026.01.25. 10:55,조회 133,fanqueen1,신입
1527,모델3 출고기간,바이레도님,2026.01.25. 10:52,조회 138,seororo92,준회원
1528,코나랑 EV5,애론,2026.01.25. 10:50,조회 99,ttl5884,신입
1529,확실히 테슬라가 중고차 잔존가치가 높네요,아야세I용인,2026.01.25. 10:41,조회 424,,준회원
1530,"EV3, 환경부 충전 카드 발급",파일IEV3I분당,2026.01.25. 10:38,조회 208,file1307,등급
1531,NAARO 차키케이스 파시는분 계실까요?? (나로),철이l양산,2026.01.25. 10:35,조회 26,,준회원
1532,EV6 계약 중...,갈대IEV6I전북,2026.01.25. 10:34,조회 160,dongho7713,신입
1533,리스는 전환지원금 어떻게 되는건가요?,제네제네Iegv70I부산,2026.01.25. 10:26,조회 85,hyun930626,준회원
1534,엔카 스포티지 신형가솔린 가격이...,블라스트I광주,2026.01.25. 10:23,"조회 6,235",ohbk78,준회원
1535,"테슬라‘옵티머스’로봇, 2월 텍사스 기가팩토리 투입… “2027년 일반 판매 시작”",해I모y아5I서울,2026.01.25. 09:57,조회 143,hwajakim2,준회원
1536,현대기아 보조금 문의,바이레도님,2026.01.25. 09:54,조회 676,seororo92,준회원
1537,테슬라 계약 후 준비사항?,그린델l모yl경북,2026.01.25. 09:53,조회 98,seong0415,신입
1538,7kw 충전기 추천해주셍ㆍ느,허둥이1,2026.01.25. 09:52,조회 116,promise7396,신입
1539,유일하게 벤츠만 전기차 판매량만 - 네요,굿맨I여수,2026.01.25. 09:48,조회 751,littleson1,준회원
1540,전기차를 구매 조언 부탁드립니다,카니발살까나,2026.01.25. 09:45,조회 35,00707777,신입
1541,단순 전기차 유지비 계산기 가져왔어요,미니l쏘부El서울,2026.01.25. 09:42,조회 216,minsung0302,준회원
1542,"더뉴ev6 , 구ev6",아기I안양,2026.01.25. 09:35,조회 182,wodl0512,준회원
1543,대구 맛집 소개 (모꼬지횟집),금빛동전I아5EV4I대구,2026.01.25. 09:32,조회 67,10woncoin,정회원
1544,모델3 vs ev6,무등산고영희l전남l,2026.01.25. 09:15,조회 875,cokepl,신입
1545,생애 첫 전기차,하트뿡lEV5I아산,2026.01.25. 09:09,조회 66,lwj2702,준회원
1546,지커 7X 는 국내 출시가 언제쯤일까요?,해루비I경기,2026.01.25. 09:03,조회 408,rayman8909,준회원
1547,EV5 시트 커버 추천 !,하트뿡lEV5I아산,2026.01.25. 09:02,조회 134,lwj2702,준회원
1548,아이오닉5 자율주행시(차선이탈방지불들어오면) 핸들이 와리가리 증상 많은데 어케 해결하나요?,최우수상33,2026.01.25. 09:02,조회 168,hun5252,신입
1549,충전할때 쓰는카드!,초보I토레스I전주,2026.01.25. 09:00,조회 133,zetblue,신입
1550,아토3 고민중입니다..,시리누나I경기광주,2026.01.25. 08:59,조회 600,jbangsil,신입
1551,세종시 지자체보조금,노삼미키,2026.01.25. 08:52,조회 155,white8383,준회원
1552,주말에 상담가능한 기아 딜러분 연락주세요,감자불I서울,2026.01.25. 08:45,조회 40,dbswl4911,준회원
1553,"1~2억 스포츠성 가진 차량 전기,내연포함 최고차량은 무엇일까요?",최강한화I아9I대전,2026.01.25. 08:41,조회 209,hyeasung1988,준회원
1554,혹시 여기 니로 하이브리드 운용해보신분 있나요?,퍼수l아이오닉5l서울,2026.01.25. 08:41,조회 55,negro0906,신입
1555,테슬라에 국산 차 '맞불'...불붙은 전기차 가격 전쟁,해I모y아5I서울,2026.01.25. 08:40,조회 283,hwajakim2,준회원
1556,"지커·샤오펑 중국 프리미엄카 몰려온다, 첨단기술 무장한 전기차 시장 판도 흔드나",해I모y아5I서울,2026.01.25. 08:37,조회 202,hwajakim2,준회원
1557,ICCU 당첨의 고통ㅠ,마크6I아이오닉6I서울,2026.01.25. 08:37,"조회 1,232",hanbok6,준회원
1558,전기차 보조금 나오기전에 예약해둬야겠죠?,차행l경남,2026.01.25. 08:37,조회 232,lnixal,준회원
1559,휠복원?휠도색?,적폐l아이오닉5l평택,2026.01.25. 08:35,조회 141,arang0513,신입
1560,중고차 블루링크,적폐l아이오닉5l평택,2026.01.25. 08:33,조회 80,arang0513,신입
1561,SOH는 어디서 확인해야 하나요?,적폐l아이오닉5l평택,2026.01.25. 08:29,조회 144,arang0513,신입
1562,제주 공고 일정,유바니IEV3I제주,2026.01.25. 08:25,조회 83,bunghun713,준회원
1563,EV3 재고차 많이 남아있나요???,유바니IEV3I제주,2026.01.25. 08:23,조회 414,bunghun713,준회원
1564,"아이오닉5, EV4 시승기",꼬꼬달I대구,2026.01.25. 08:21,"조회 4,686",dal3356,준회원
1565,"ev6 스탠다드(깡통), ev3 롱 어스 고민입니다",프래시l평택,2026.01.25. 08:15,조회 444,naras00,신입
1566,무제한 카드,경기llbass,2026.01.25. 08:12,조회 65,bass1211,신입
1567,아이오닉9 시승갑니다,모랭이l전북,2026.01.25. 08:05,조회 145,seomundeok,준회원
1568,전기차 완속충전비,목포l동해바다속,2026.01.25. 07:51,조회 108,kim2031003,준회원
1569,오사카에서 본 아이오닉5 택시.,난나나l아식스l대전,2026.01.25. 07:51,조회 265,ticoysh,준회원
1570,무안군 보조금 공고일이 늦네요ㅠㅠ,목포l동해바다속,2026.01.25. 07:50,조회 67,kim2031003,준회원
1571,로마 허츠 렌트카 씨라이언과 우버 모델Y,코II코나ll충남,2026.01.25. 06:57,조회 124,neosun1977,준회원
1572,아이오닉9 리콜 대상자라고 해서 접수하였습니다,계피li9l경기,2026.01.25. 06:55,조회 186,k-van,신입
1573,로보택시 - 웨이모와 테슬라 근황,캔IIX모SI미국,2026.01.25. 06:44,조회 115,can-larskim,준회원
1574,평균 일주일 합 150km미만. 전기차가는게맞나요?,혀기노형동,2026.01.25. 06:32,조회 639,hjhiggi,신입
1575,첫전기차 고민 입니다 ev6 롱레어스 vs 씨라7,대구II윤윤,2026.01.25. 06:27,조회 519,wkdal1644,신입
1576,ev6 재고차 문의,벨르린다l경기,2026.01.25. 06:22,조회 310,bellehann,준회원
1577,운전시작한지 이제 8개월,감자I수원,2026.01.25. 06:15,조회 90,tkfbr,준회원
1578,전기차 렌트 후기,고장I경기,2026.01.25. 05:43,조회 145,inyong9185,준회원
1579,닭이 먼저인가 달걀이 먼저인가?,고장I경기,2026.01.25. 05:29,조회 61,inyong9185,준회원
1580,선택의기로,예비차,2026.01.25. 04:50,조회 221,mwheat,신입
1581,EV6 캐리어 3개 실어봤습니다,아빠다ev6전북,2026.01.25. 03:50,조회 507,tata321,준회원
1582,아이오닉9 납기일,의왕 덕공,2026.01.25. 03:01,조회 131,jgjg55555,신입
1583,아이오닉9 회생제동,의왕 덕공,2026.01.25. 02:58,조회 88,jgjg55555,신입
1584,기아의 빌트인 캠2 어떤가요?,부파고I서울,2026.01.25. 02:45,조회 691,shortdari3,준회원
1585,경남지역 보조금 어떤가요?,아둘딸l레이evl양산,2026.01.25. 02:40,조회 445,dudnf48,준회원
1586,아파트 전기차충전구역 병행주차,성지I포터2EVI경북,2026.01.25. 02:22,조회 215,xixi18,준회원
1587,Gv70전기차 오기 전 준비,제네제네Iegv70I부산,2026.01.25. 01:44,조회 104,hyun930626,준회원
1588,아파트 주차장 충전기 계약 만료 답답하네요,테이l세닉l부산,2026.01.25. 01:38,조회 274,qjatj591789,준회원
1589,견적서좀봐주세요,스대박I부산,2026.01.25. 01:34,조회 624,us246,신입
1590,아파트내 급속충전기를 완속으로 교체가 가능한가,깨무Ii5아5I대전,2026.01.25. 01:31,조회 195,neprosis,신입
1591,"테슬라, 전기차 차주들을 위한 한파 겨울철 주행 및 충전 가이드",해I모y아5I서울,2026.01.25. 01:30,조회 206,hwajakim2,준회원
1592,고민됩니다 ㅠㅠ 씨라7 모델y ev5,칸웨이l씨라7l부산,2026.01.25. 01:25,조회 799,qkrtjdgh175,준회원
1593,현대엔지니어링충전기 회원가 292원 로밍가 200원 이게 맞나요???,슝ㅣ아이오닉5ㅣ경기,2026.01.25. 01:16,조회 272,kty96615,준회원
1594,안녕하세요 전기차 알아보다 들어왔습니다 ㅎㅎ (가성비좋은 전기패밀리카 추천부탁드려요),홍꾸빵꾸,2026.01.25. 01:15,조회 146,daylight0691,신입
1595,제주 ev3 딜러분 연락처 부탁드립니다~,작은 물고기,2026.01.25. 01:09,조회 41,paradox4444,신입
1596,전기차 or 하이브리드 고민,라이크썬l경기,2026.01.25. 01:08,조회 132,likesun09,신입
1597,무쏘ev 차박용 평탄화매트,이카루스I무쏘evI부산,2026.01.25. 01:04,조회 81,sexymiya,준회원
1598,아토3 vs Ev3,또리또리또리다,2026.01.25. 01:03,조회 292,jbchsk,신입
1599,청년생애첫전기차구매시 서류,이브익I경기,2026.01.25. 00:52,조회 167,sya4529,준회원
