번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
51,[질문] 주행거리가 짧으면 하브사라는 말이 맞나요?,엘리시안l평택오산,2026.01.26. 13:04,"조회 2,348",sladin333,준회원
52,페리ev6 iccu터짐,아렌Iev6I경남,2026.01.26. 12:57,"조회 1,694",djfmswnwkr1,준회원
53,전기차 뽑기 잘하셔야 합니다. 제 경험담 후기 말씀드림 ㅜ.ㅜ 기아차 반성해라!,돈벌자,2026.01.26. 12:22,"조회 3,039",ehsqjfwk1024,신입
54,보조금 조회했는데 지방비0은,예아노루,2026.01.26. 12:20,"조회 1,518",laidem,신입
55,전기차를 사면 정비할게 없다던데,채이로빠I강원,2026.01.26. 12:11,"조회 1,880",bsc631,신입
56,[계약인증] 계약완료 및 보조금 신청완료,응아lev3l울산,2026.01.26. 12:10,"조회 1,142",0321bbijim,신입
57,[계약인증] EV6 재고차 계약,얇은 돼지Iev6I연천,2026.01.26. 11:43,"조회 5,194",niegro72,신입
58,[계약인증] ev5' 재고차 계약했습니다,산내I코나I동탄,2026.01.26. 11:37,조회 1.7만,thdehdtjq123,준회원
59,집밥 차지비 319원이면 전기차 구매한 의미가,수원햄뚱이 아이오닉5,2026.01.26. 11:34,"조회 2,046",dkdk9609,준회원
60,대구시 보조금..항의전화..,훅기사l대구,2026.01.26. 11:07,"조회 1,579",hey25s,준회원
61,결국 EV3로 재계약 했습니다.,오리lEV4l울산,2026.01.26. 11:04,"조회 1,367",zingy0403,준회원
62,"공지
 현대 아이오닉9 '2026 올해의 차(한국자동차 전문기자협회)' 수상 기념 이벤트",재롬l스텝l,2026.01.26. 10:20,"조회 1,188",ttlgold,카페 스탭
63,테슬라 단점,잉ll경기,2026.01.26. 09:32,"조회 1,608",star2310808,신입
64,[질문] 김해도 보조금 공시 되었네요. 근데 이상하네요.,크놀프,2026.01.26. 09:09,"조회 4,809",wouuo,신입
65,,,,,,
66,나 주니퍼 25년 7월 차준데 지금 사는 사람 안부러움,우깔I주니퍼I평택,2026.01.26. 08:52,"조회 1,409",sg0582,신입
67,[질문] 4-5천만원 전기차 추천 부탁드립니다!,인천ll지콩이,2026.01.26. 07:47,조회 980,tjrjsgml98,신입
68,테슬라 주니퍼 중고 가격이 점점 떨어지고있네요,스타I동탄,2026.01.26. 07:00,"조회 1,782",aodol114,준회원
69,(뻘글)ev5가 중국산 ncm 배터리를 사용한 이유,조개빵Iix50I대구,2026.01.26. 05:50,"조회 1,159",ktygo124,준회원
70,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,,,
71,카푸어의 기준이 바뀌어야 맞을것같아요.,최강한화I아9I대전,2026.01.26. 00:42,"조회 1,225",hyeasung1988,준회원
72,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,,,
73,아...현기차 이러면 나x리인데 ㅠㅠ,사모디IeG80I고양,2026.01.25. 22:13,"조회 4,470",kbm9601,정회원
74,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,,,
75,EV4 vs EV6 가장 큰 차이가 뭔가요?,파인드Ii5I서울,2026.01.25. 19:07,"조회 1,379",ffminjong,준회원
76,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,,,
77,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,,,
78,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,,,
79,아이오닉9 시승하고왔어요,루미아빠,2026.01.25. 16:03,"조회 5,559",hwoo2005,신입
80,EV4 못생겼다고 하는분들 보세요,이비뽀IEV4I화성,2026.01.25. 15:43,조회 1.9만,kbs159951,준회원
81,[계약인증] EV5 경남 출고,이비5 I 서울,2026.01.25. 14:39,"조회 1,424",elves99,준회원
82,7천만원 주니퍼6인승 롱바디 VS 1억짜리 지커 9X,fsd좌 l 사트 l 하남,2026.01.25. 13:39,"조회 3,867",choasung11,준회원
83,,,,,,
84,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,,,
85,현대에서는 전기차가격인하 계획이 없는건가요?,절대강자I경남,2026.01.25. 11:51,"조회 2,024",imzeus,준회원
86,주변에서 PPF 무조건 필수라고 하는데요..,바나나스I모델XI용인,2026.01.25. 11:34,"조회 1,936",coun1000,준회원
87,기아 EV5 vs 테슬라 주니퍼,파인드Ii5I서울,2026.01.25. 11:32,"조회 6,652",ffminjong,준회원
88,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,,,
89,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,,,
90,솔직히 놀랬습니다,두면l아오닉5I경기,2026.01.25. 11:01,"조회 2,302",,준회원
91,Ev6 300가까이 하네요,102동 203호 아재,2026.01.25. 10:52,"조회 1,381",,준회원
92,아파트에서 충전하시는분들 대략 요금 얼마나 나오시나요?,인천I니로I스플리트,2026.01.25. 10:44,"조회 1,288",,신입
93,엔카 스포티지 신형가솔린 가격이...,블라스트I광주,2026.01.25. 10:23,"조회 6,150",,준회원
94,모델3 vs ev6,무등산고영희l전남l,2026.01.25. 09:15,조회 855,,신입
95,ICCU 당첨의 고통ㅠ,마크6I아이오닉6I서울,2026.01.25. 08:37,"조회 1,215",,준회원
96,"아이오닉5, EV4 시승기",꼬꼬달I대구,2026.01.25. 08:21,"조회 4,645",,준회원
97,고민됩니다 ㅠㅠ 씨라7 모델y ev5,칸웨이l씨라7l부산,2026.01.25. 01:25,조회 787,,준회원
98,게시판을 구독했습니다.,,,,,
99,전기차 할인 대란 중 가장 가성비는 뭐였을까요?,봄lGV60l경북,2026.01.24. 20:19,"조회 4,587",,준회원
100,기아가 안팔리긴 하나보네요,Ev3예비오우너l제천,2026.01.24. 19:30,"조회 4,201",,준회원
101,,,,,,
102,[질문] 아파트 충전기가 계약종료로 다른 사업자 충전기로 설치되었는데요.,데이즈lEV6I경기,2026.01.24. 14:52,"조회 7,253",,준회원
103,타이칸2대+아이오닉9 오너의 씨라이언7 출고기..(모델Y 주니퍼 포기),듑l타이칸911김포,2026.01.24. 14:23,조회 1.5만,,우수회원
104,EV5 가격 내렸으니 매력있을까요?,태평아빠I경북,2026.01.24. 13:24,"조회 1,967",,신입
105,제목이 자극적이었나 봅니다.,절제i미정i경북,2026.01.24. 12:23,"조회 2,245",,준회원
106,[질문] 레이ev 면 충분할까요? (두번째질문),오직한길l경기,2026.01.24. 12:08,"조회 1,116",,준회원
107,레이 ev타고 다니면서 느낀점,스카이훅I레이EVI수원,2026.01.24. 11:42,"조회 1,665",,신입
108,"테슬라, 한국 FSD 공식 지원 국가 추가...전 세계 8개 국가로 확대",해I모y아5I서울,2026.01.24. 11:41,"조회 3,132",,준회원
109,[질문] Ev3 재고차 3월까지 있을까요?,빠방이I아이오닉I양주,2026.01.24. 11:41,"조회 1,273",,준회원
110,빈패스트 탑승중인데 설계 뭐죠;;,리토도I대전,2026.01.24. 11:25,"조회 3,556",,준회원
111,"경남 창원, 고민 끝에 전기차 계약 전부 취소했습니다",이랑날,2026.01.24. 11:18,"조회 1,924",,준회원
112,"테슬라, 무료 오토파일럿 중단…""유료 FSD 판매 포석""",해I모y아5I서울,2026.01.24. 11:02,"조회 1,654",,준회원
113,경남 보조금이 정상이아닌데요??,유봉이I볼트EUVl창원,2026.01.24. 10:54,"조회 2,468",,정회원
114,전기차보조금 도대체 왜 경남만 줄어든거죠?,각도기I경남,2026.01.24. 10:53,"조회 1,118",,준회원
115,[질문] ev6 할인 이렇게 보면 되는거 맞나요?,여비I아9I부산,2026.01.24. 10:42,"조회 1,714",,준회원
116,26년하반기 부산경남 보조금,동래촌놈lEV6l경남,2026.01.24. 10:27,"조회 1,181",,준회원
117,울산도 지원금 망했네요,사마율l울산,2026.01.24. 09:54,"조회 1,928",,신입
118,주행가능거리 400이면 충분하다 생각했는데,바바야I ID4I경납,2026.01.24. 09:53,"조회 1,979",,준회원
119,,,,,,
120,2년전 ev6 살때 견적서인데 지금봐도 혜자네요,피닉스파크I모YI부산I,2026.01.24. 09:23,"조회 1,928",,준회원
121,제주 ev4 렌트 후기,대학원생Iev3I서울,2026.01.24. 08:15,"조회 1,386",,준회원
122,[질문] EGV70 중고 가격 어떻게보세요?,부산띵똥,2026.01.24. 07:59,"조회 1,007",,준회원
123,EV3 / EV6 고민입니다.,낚찌낚찌,2026.01.24. 07:15,"조회 1,400",,준회원
124,2025 ev4 vs 2026 ev4 달라진점,이비뽀Iev4I제천,2026.01.24. 04:48,"조회 9,611",,신입
125,300할인 좋네요 전환지원금도~!!!,슈퍼소닉Iev6I청주,2026.01.24. 03:34,"조회 1,327",,신입
126,요즘 전기중고차들 매물이 금방나가네요,짱구이마I광주,2026.01.24. 02:26,"조회 1,143",,준회원
127,산지 2주만에 사고ㅠ,파란우비I오닉5I서울,2026.01.24. 01:22,"조회 1,147",,준회원
128,기름값은 그대로. 충전비는 50%인상,암세아린빠더l경주,2026.01.24. 01:06,"조회 1,408",,준회원
129,현대 EV 부담다운 유예할부에 대해서 설명 드립니다.,마비I아5I전북,2026.01.24. 00:05,"조회 3,316",,준회원
130,EV5 할인재고 잡았습니다.,야채배달,2026.01.23. 22:18,"조회 4,700",,준회원
131,요즘 여러가지로 좋아지는군요.~,가을하늘li5I경기,2026.01.23. 17:23,"조회 1,755",,준회원
132,EV5가 욕을 엄청 먹고 있는데,해루비I경기,2026.01.23. 16:21,"조회 2,027",,준회원
133,경남분들.. 보조금 폭망인디 그래도 다들 전기차 구매하십니까?,손발을두잇I대구,2026.01.23. 16:07,"조회 2,109",,준회원
134,현대차는 정말 자국민을 호구로 보나 보네요,인터넷전문가,2026.01.23. 15:43,"조회 1,923",,신입
135,망했네요 경남,캠퍼I경남,2026.01.23. 15:25,"조회 1,977",,준회원
136,경남분들.. 보조금 폭망인디 그래도 다들 전기차 구매하십니까?,손발을두잇I대구,2026.01.23. 16:07,"조회 2,101",,준회원
137,,,,,,
138,경남분들 보조금 삭감 항의민원부탁드립니다,도도차차l모3EV5I경남,2026.01.23. 14:52,"조회 1,630",,신입
139,주니퍼와 ev5 고민이네요,소나무I리프I전남,2026.01.23. 13:04,"조회 2,618",,준회원
140,일년 주행 5천km는 가솔린이 맞겠죠?,꼴레오,2026.01.23. 11:54,"조회 3,242",,신입
141,기아 전기차 할인때문에 이것저것 알아봤습니다.,피다기l부산,2026.01.23. 11:34,조회 1.6만,,준회원
142,월 31만원에 '아이오닉 5' 탄다…현대차 전기차 할부금리 인하,해I모y아5I서울,2026.01.23. 11:01,"조회 1,854",,준회원
143,말로만 듣던 ICCU 저에게도 왔네요,유부Iev6I광주,2026.01.23. 10:51,"조회 6,138",,준회원
144,EV5 가격인하 때문에 모델Y랑 비교중인데요. Y보다 더 저렴한거 맞나요?,왕쏘야I모델YI인천,2026.01.23. 10:44,"조회 1,777",,준회원
145,"공지
 현대 전기차 저금리 프로모션 _ EV 부담 Down 프로모션’ 실시",재롬l스텝l,2026.01.23. 10:34,"조회 2,040",,카페 스탭
146,"경남은 25년,,,대비 26년 시별로 차량댓수가 늘어난곳은,,,아무래도,,대당 보조금이 줄수밖에 없겠네요",술쟁이I볼트EVI양산,2026.01.23. 10:18,조회 994,,준회원
147,Ev4 vs 모3. 스탠다드 현실적인 비교 가능하신분..,최강한화I아9I대전,2026.01.23. 10:03,조회 904,,준회원
148,EV5 가격인하 소식 듣고 왔습니다,큰붕어l경기,2026.01.23. 09:54,"조회 1,097",,신입
149,경북 경산 떴네요,환이님ll6n예비l경산,2026.01.23. 09:48,"조회 1,588",,준회원
150,[질문] 전기차할인 이정도는 받아야지 사는거죠.,진격의텃밭lev6l창원,2026.01.23. 09:32,"조회 2,324",,준회원
151,경남은 전체적으로 보조금 줄은것이 맞나 봅니다.,뽀시래기lIONIQ6I경남,2026.01.23. 09:28,조회 950,,우수회원
152,경남 전기차보조금 담당자발 450만 삭감 맞네요,갈릭반Iev9I세종,2026.01.23. 09:24,"조회 1,174",,우수회원
153,"현대차, ‘EV 전기차 부담 Down 프로모션’ 실시⋯ ‘아이오닉5·아이오닉6·코나 EV 혜택’",해I모y아5I서울,2026.01.23. 09:11,"조회 1,539",,준회원
154,ev5나 6로 갈아탈까합니다,전북ll이브이3,2026.01.23. 08:54,"조회 1,865",,준회원
155,,,,,,
156,2025 세계 10대 자동차라네요.,퍼수l아이오닉5l서울,2026.01.23. 08:43,"조회 2,044",,신입
157,경남은 보조금 아작 났네요........ 이리저리 서치해보니,술쟁이I볼트EVI양산,2026.01.23. 08:21,"조회 1,318",,준회원
158,경남 전기차 보조금 350삭감..!!!,전기차고고싱,2026.01.23. 07:04,"조회 1,341",,준회원
159,드디어 계약했습니다.잘한건지ㅠㅠㅠ,도토리지섭,2026.01.23. 03:46,"조회 1,058",,준회원
160,모델 3 가격 인하가 드러낸 현기차의 현재 위치,오버I레이I충남,2026.01.22. 22:26,"조회 3,356",,우수회원
161,"뭐, 현기가 1억에 팔든 1천만원에 팔든 상관하지 말아요.",전기냥이lEV9l경기,2026.01.22. 19:43,"조회 2,134",,준회원
162,26.1.22 EV5.EV6 가격인하,산메lEV5l 충남,2026.01.22. 19:08,"조회 3,104",,준회원
163,Ev5 가격인하해서 보니까 Ev3랑 큰차이가안나네요 ㄷㄷ,순댕이I순천,2026.01.22. 18:47,"조회 3,214",,준회원
164,"EV5 가격 인하, 스탠다드 가격에 혹해서 무턱대고 계약 하지마시길",피버I세닉I서울,2026.01.22. 15:07,"조회 3,178",,준회원
165,지나가다 봤는데 세컨카로 괜찮긴 하겠네요,폭주유모차IEV9I양주,2026.01.22. 13:52,조회 1.8만,,준회원
166,테슬라가 차값을 내리니... 기아도 내리네요~~,수니l l경기,2026.01.22. 13:23,"조회 4,305",,준회원
167,사고 수리비가 이게 맞나요...?? ㄷㄷ,후니I아이오닉6I서울,2026.01.22. 13:18,"조회 2,480",,준회원
168,기아 딜러들 개웃기네요 ㅋㅋㅋㅋ,말포이lEV6l경기,2026.01.22. 12:40,"조회 7,765",,준회원
169,갑자기 EV5 스탠이랑 고민되네요..,적당히먹기ll경북,2026.01.22. 12:19,"조회 2,096",,준회원
170,"[장문] 전기차를 처음 구입하며, 고민이신 분들께...",전기냥이lEV9l경기,2026.01.22. 12:12,조회 2.1만,,준회원
171,ev3 ev5 가격차이가 많이 좁혀졌네요,마가단 부산,2026.01.22. 12:03,"조회 2,774",,준회원
172,EV6 가격인하 궁금해요.,고윤정lEV6l광주,2026.01.22. 11:52,"조회 1,863",,신입
173,,,,,,
174,경북 김천 보조금 떴네요,빵돌IEV5I경북,2026.01.22. 11:51,"조회 1,762",,준회원
175,딱 EV5...에,피카츄I경남,2026.01.22. 11:32,"조회 1,556",,준회원
176,2026 ev6 생산월할인 400만,여니짱lEQBl경기,2026.01.22. 11:24,"조회 1,623",,준회원
177,기아 EV5 가격 낮추네요. 스탠다드도 나옴,삐삐I아직I청주,2026.01.22. 11:18,"조회 4,542",,준회원
178,아이오닉9 할인 빨리 뜨면 좋겠어요~,바바브라보I아9I용인,2026.01.22. 11:05,"조회 1,358",,준회원
179,기아 할인 맛있네요,서정시I충북,2026.01.22. 11:00,"조회 2,330",,준회원
180,EV5 GT-Line 295만원 가격할인!!!!,건강IEV5I청주,2026.01.22. 10:47,"조회 1,742",,준회원
181,현대기아차 전기차 가격인하,빵야빵야ll인천,2026.01.22. 10:31,"조회 4,713",,신입
182,"“테슬라 모델 Y 한판 붙자”…볼보, 중형 전기차 SUV ‘EX60’ 공개…WLTP 기준 최대 810㎞ 주행",해I모y아5I서울,2026.01.22. 10:25,"조회 3,400",,준회원
183,EV5 할인!! 들어간답니다.,경기i첫뚱,2026.01.22. 09:27,"조회 6,493",,준회원
184,"ev5,ev6 가격 인하..?",야생마IEV6I경남,2026.01.22. 09:12,"조회 1,535",,준회원
185,"연봉 4천, 전기차 사고싶은데 무슨 차종이 좋을까요?",감자불,2026.01.22. 09:11,"조회 1,635",,신입
186,현재 테슬라 홈페이지에서 주문 가능한 모델 Y Long Range가,으라차차V,2026.01.22. 08:50,"조회 5,575",,신입
187,EV6도 가격내렸네요,엔드IEV6I대전,2026.01.22. 08:36,"조회 2,214",,준회원
188,"와...EV5 280만원, EV6 300만원 전격 인하",집사고싶당,2026.01.22. 08:32,"조회 1,191",,신입
189,EV3랑 EV4 기본 할인 들어가네요,적당히먹기ll경북,2026.01.22. 08:25,"조회 1,399",,준회원
190,EV5 스탠다드 출시 & 롱레 가격인하,이비5 I 서울,2026.01.22. 08:11,"조회 1,147",,준회원
191,,,,,,
192,테슬라 고민....,짱구210,2026.01.21. 20:18,"조회 1,394",,준회원
193,"아이오닉3 vs 기아 EV3·EV2·테슬라 모델 3, 전기차 4파전 격돌",해I모y아5I서울,2026.01.21. 17:31,"조회 2,766",,준회원
194,오늘자(1/21) 지자체 보조금 확정 현황,어메이징권I이천,2026.01.21. 16:18,"조회 1,955",,준회원
195,테슬라가 미친겁니다,광주lEG80,2026.01.21. 16:09,"조회 2,939",,준회원
196,국토교통부 ICCU 점검 떴네요.,털구l아9l성남,2026.01.21. 14:53,"조회 2,321",,준회원
197,카플리 이벤트#6 당첨 축하드립니다,케니lI스텝,2026.01.21. 14:13,조회 537,,카페 스탭
198,고급 전기차 1억 언더 추천해주세요,다몽아빠,2026.01.21. 12:28,"조회 1,554",,준회원
199,씨라이언7 vs EV4,내연그만타자l의정부,2026.01.21. 12:26,"조회 1,992",,신입
200,서울시 보조금 떳으니...인천도 언능 뜨길 바랍니다...ㅋㅋㅋ,청라IiX2I인천,2026.01.21. 12:22,"조회 1,123",,준회원
201,"테슬라가 쏘아올린 ‘가격 파괴’…현대차·기아, ‘안방 사수’ 총력",해I모y아5I서울,2026.01.21. 11:51,"조회 7,776",,준회원
202,ev3 트림 보태보태병...조언좀요 ㅠㅠ,안운l인천,2026.01.21. 11:36,조회 862,,준회원
203,5000만원짜리 전기차 사는데 필요한 세후 월급조사,파인드Ii5I서울,2026.01.21. 11:33,"조회 2,423",,준회원
204,경) 현대차 시총 100 조 돌파 (츅,런너I캐스퍼GV60l해운,2026.01.21. 11:04,"조회 1,276",,우수회원
205,보조금 지역별로 빈부격차 너무 심하네요,쨔스IEV5I경기,2026.01.21. 10:52,"조회 1,670",,준회원
206,국토교통부 ICCU 점검 떴네요.,털구l아9l성남,2026.01.21. 14:53,"조회 2,322",,준회원
207,"니들이 전기차 보급이 목표라며,,, 충전비는 왜이래,,, 🤣",츕츕I모Y2008EI분당,2026.01.21. 10:06,"조회 2,247",,준회원
208,현대차 품질과 서비스 이게 맞나요?,판타아이오닉5경기,2026.01.21. 09:51,"조회 2,093",,신입
209,,,,,,
210,순천광양여수 자자체문의 결과,헬린이IEV5I광양,2026.01.21. 09:31,조회 686,,준회원
211,[가입인사] 2026년도 전기차 보조금,소금반팔l원주,2026.01.21. 09:02,조회 732,,신입
212,"""삼성"" 전기자동차 왜 만들까?",한센l아이오닉l전남,2026.01.21. 08:39,"조회 1,910",,준회원
213,주행거리 저도 문제가 있는거 같네요,루이 I IONIC6 I인,2026.01.21. 08:34,"조회 1,045",,준회원
214,모y주니퍼 운행 소유자분들께 질문좀.,테슬라와이I전남,2026.01.21. 08:20,조회 867,,준회원
215,iccu 비율이 높은가봐요 기분탓인가?,모와아구I주니퍼,2026.01.21. 07:18,조회 697,,준회원
216,계약시 딜러가 서비스 언급을 안했는데..,땅콩잉꼬,2026.01.21. 05:30,조회 788,,준회원
217,아파트 충전구역이 반토막나서 짜증납니다.,호랑호랑I경기,2026.01.21. 02:42,조회 981,,준회원
218,혹시 2월에 현기차 할인폭이 더 커질까요?,슬로우I아오5I전북,2026.01.21. 01:16,"조회 1,010",,준회원
219,차 가격이 5000이 싼게 아닌데..,최강한화I아9I대전,2026.01.21. 00:47,"조회 2,246",,준회원
220,초보 여자가 탈만한 벤츠 전기차 있나요?,서울숲007,2026.01.21. 00:36,조회 684,,신입
221,씨라이언7후기…,의밍,2026.01.21. 00:15,"조회 1,004",,신입
222,카플리#6) 마감 3200mA LED 랜턴 10개 나눔,케니lI스텝,2026.01.20. 19:07,조회 836,,카페 스탭
